assay,condition,source,displayed_validity,frame,metric,mean,sem,trials
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,4,cue_raw,0.0323115694761024,0.002079011877498694,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,5,cue_raw,0.022453179887331014,0.001434392479123765,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,6,cue_raw,0.013261107942570996,0.0016616207661282406,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,0,cue_conditional,0.25580956115372905,1.1390647892519137e-17,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,1,cue_conditional,0.7519005819176124,2.5374328554448e-05,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,2,cue_conditional,0.25498365755833236,1.3492812884040299e-06,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,3,cue_conditional,0.24783357477870296,0.013240945834999426,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,4,cue_conditional,0.24655307502896653,0.01481860415581155,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,5,cue_conditional,0.24066589871874533,0.015256708682620707,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,6,cue_conditional,0.24872499916704996,0.017369284678254836,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,0,target_raw,0.0005122764559928328,0.0,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,1,target_raw,0.7489208089821204,1.3911574526388369e-05,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,2,target_raw,9.737168787182782e-05,1.3416727104716437e-06,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,3,target_raw,0.061601978552062064,0.0037305917309698707,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,4,target_raw,0.0323115694761024,0.002079011877498694,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,5,target_raw,0.022453179887331014,0.001434392479123765,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,6,target_raw,0.013261107942570996,0.0016616207661282406,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,0,target_conditional,0.25580956115372905,1.1390647892519137e-17,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,1,target_conditional,0.7519005819176124,2.5374328554448e-05,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,2,target_conditional,0.25498365755833236,1.3492812884040299e-06,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,3,target_conditional,0.24783357477870296,0.013240945834999426,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,4,target_conditional,0.24655307502896653,0.01481860415581155,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,5,target_conditional,0.24066589871874533,0.015256708682620707,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,6,target_conditional,0.24872499916704996,0.017369284678254836,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,0,target_selectivity,0.007746081538305573,1.868778169866421e-18,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,1,target_selectivity,0.6692007758901498,3.383243807259727e-05,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,2,target_selectivity,0.006644876744443081,1.7990417178718428e-06,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,3,target_selectivity,-0.0028885669617293454,0.01765459444666591,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,4,target_selectivity,-0.004595899961377838,0.019758138874415406,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,5,target_selectivity,-0.0124454683750063,0.02034227824349427,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,6,target_selectivity,-0.001700001110599964,0.023159046237673116,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,0,max_raw_patch,0.0005371913575800136,0.0,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,1,max_raw_patch,0.7489208089821204,1.3911574526388369e-05,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,2,max_raw_patch,0.0001020428837629576,1.4060685439890925e-06,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,3,max_raw_patch,0.1028560412863347,0.002901868804542134,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,4,max_raw_patch,0.05904452227696311,0.002041338695348319,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,5,max_raw_patch,0.04420216343108526,0.0017322765785051215,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,6,max_raw_patch,0.02626784501872592,0.0020772080435592006,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,0,max_conditional_patch,0.26825102701975817,1.1390647892519137e-17,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,1,max_conditional_patch,0.7519005819176124,2.5374328554448e-05,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,2,max_conditional_patch,0.2672158586049694,1.520667092108834e-06,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,3,max_conditional_patch,0.4175362985601609,0.009600273586257257,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,4,max_conditional_patch,0.4454192468097207,0.011228035956632094,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,5,max_conditional_patch,0.44708921162154086,0.010991746025517656,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,6,max_conditional_patch,0.4742051949845256,0.013518334955587947,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,0,normalized_entropy,0.9990166238567765,1.594690704952679e-16,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,1,normalized_entropy,0.6004478296420368,4.0376657190832164e-05,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,2,normalized_entropy,0.9991528384653586,1.412829677529863e-07,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,3,normalized_entropy,0.9169478448337175,0.005772390265021703,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,4,normalized_entropy,0.8872583560810862,0.007869653086727612,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,5,normalized_entropy,0.8814448586712423,0.0074312397829115985,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,6,normalized_entropy,0.8494411750310448,0.010352577627576826,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,0,effective_locations,3.9945507199973203,2.7337554942045927e-16,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,1,effective_locations,2.298823773260255,0.00012866502689767108,96
cue_proportion_nochange,interrupted_noisy,current_image_keys,0.25,2,effective_locations,3.995305096396395,7.825195773530071e-07,96
