trial,change_status,test_location,sample_stimulus_minus_blank_combined,sample_query_stimulus_minus_blank_combined,sample_loc0_minus_loc3_combined,first_test_target_minus_other_combined,first_test_query_same_minus_other_memory,first_test_t3_query_same_minus_other_visual,first_test_t3_query_same_minus_other_memory,first_test_t3_query_same_minus_other_combined,first_test_t4_query_same_minus_other_visual,first_test_t4_query_same_minus_other_memory,first_test_t4_query_same_minus_other_combined,second_test_target_minus_other_combined,second_test_return_from_gap_combined,second_test_query_same_minus_other_visual,second_test_query_same_minus_other_memory,second_test_query_same_minus_other_combined
75,0,0,-0.032597978036235986,0.006227090489119291,-0.010410177115630859,-0.05191891301625162,0.03786233998835087,-0.048418134450912476,9.551644325256348e-06,-0.04840858280658722,-0.04813098907470703,0.07571512833237648,0.02758413925766945,-0.012841893365539647,-0.021842942952678968,-0.0485440194606781,0.1834159097634256,0.1348718903027475
76,0,0,-0.03580468822498517,-0.006296652369201183,-0.004515452745238235,-0.049430910512043624,0.047815585508942604,-0.04834972321987152,1.0654330253601074e-05,-0.04833906888961792,-0.04826842248439789,0.09562051668763161,0.04735209420323372,0.0015515503293386246,-0.008096647587635175,-0.04845324158668518,0.23602042737184092,0.18756718578515574
77,0,0,-0.031894339186795406,0.00847200071439147,-0.010050952160234772,-0.05028162671943903,0.043907204642891884,-0.04847687482833862,-4.2222440242767334e-05,-0.04851909726858139,-0.048203691840171814,0.08785663172602654,0.03965293988585472,-0.03335148068104843,-0.040018995271594804,-0.048535123467445374,0.11167831346392632,0.06314318999648094
78,0,0,-0.03112635139455122,0.011839478043839335,-0.03770887737568529,-0.050633939195527944,0.042971523478627205,-0.04839031398296356,9.663403034210205e-05,-0.04829367995262146,-0.04820127785205841,0.08584641292691231,0.0376451350748539,0.012435212205339496,0.0033459840020668707,-0.04859204590320587,0.2661073026829399,0.21751525677973405
79,0,0,-0.03118738328687698,0.01171551225706935,-0.036715802482063964,-0.052578904123336656,0.035569725558161736,-0.04841151833534241,-2.6673078536987305e-06,-0.048414185643196106,-0.048197850584983826,0.07114211842417717,0.022944267839193344,-0.02243252307742516,-0.0318090956609165,-0.04857613146305084,0.15388388703286182,0.10530775556981098
80,0,0,-0.02784499410353547,0.02343910525087267,-0.02295793605521368,-0.0495271273867246,0.04733305796980858,-0.04833902418613434,-0.00011477619409561157,-0.04845380038022995,-0.04818315804004669,0.09478089213371277,0.04659773409366608,-0.024987172256835777,-0.03525858483245159,-0.04861640930175781,0.1415256791296997,0.0929092698279419
81,0,0,-0.028458707296785235,0.02158824703656137,-0.05601804001655353,-0.050161479461550584,0.044506531208753586,-0.04833453893661499,2.5510787963867188e-05,-0.04830902814865112,-0.04818736016750336,0.0889875516295433,0.04080019146203995,0.0007364748004476951,-0.007754925943610935,-0.04853339493274689,0.2332342527806759,0.184700857847929
82,0,0,-0.03222368984923207,0.007753651821985841,-0.021582179852785544,-0.05378358029359731,0.03029029257595539,-0.048377662897109985,1.601874828338623e-05,-0.0483616441488266,-0.04807919263839722,0.060564566403627396,0.012485373765230179,-0.027647547307907416,-0.03482589068056008,-0.04827457666397095,0.12896449957042933,0.08068992290645838
83,0,0,-0.03716959667235642,-0.01156324427574873,0.006246237429593293,-0.05053643841162625,0.04332134127616882,-0.04836191236972809,6.470829248428345e-05,-0.048297204077243805,-0.04819503426551819,0.08657797425985336,0.038382939994335175,-0.0005493954162645309,-0.010583880444848148,-0.048102110624313354,0.227361310942797,0.17925920031848364
84,0,0,-0.0301509591393625,0.015333162620663643,-0.008988915150439425,-0.05178897964894702,0.03833311051130295,-0.04835668206214905,9.179115295410156e-06,-0.04834750294685364,-0.048129767179489136,0.07665704190731049,0.02852727472782135,-0.027454296435465153,-0.03649739527187368,-0.048535823822021484,0.12911229580640793,0.08057647198438644
