env,routing,condition,displayed_validity,alpha,beta,gamma,lam,converged,n_trials_per_point,active_items,source_path,source_sha256,checkpoint_sha256
vda16,crossattn1,valid,1.0,15.925316348529073,4.392951015329688,0.005378113597192463,1.0406716055084012e-17,True,300,16,RViT_plus_paper_jepa_grid9\reports\vda_series\vda16_crossattn_nodecay_20260719_production\data\psychometric_vda16_crossattn1.npz,4416440472a17350faf368000740af45ae3f81a340b11e3e8a1dc94cff632c23,b40d9aa49ec28c352d7a790de84f5902e1a307f7b2abe5fe68dc9e6aabb4f84d
vda16,crossattn1,invalid,1.0,27.934826986131778,5.933104044739114,0.015246838690321026,0.1444840816194518,True,300,16,RViT_plus_paper_jepa_grid9\reports\vda_series\vda16_crossattn_nodecay_20260719_production\data\psychometric_vda16_crossattn1.npz,4416440472a17350faf368000740af45ae3f81a340b11e3e8a1dc94cff632c23,b40d9aa49ec28c352d7a790de84f5902e1a307f7b2abe5fe68dc9e6aabb4f84d
vda16,affine_ew,valid,0.25,12.031086237469792,3.27650016668218,0.027561421083859738,1.1350638792474953e-26,True,300,16,RViT_plus_paper_jepa_grid9\reports\vda_series\vda16_affine_nodecay_20260720_production\data\psychometric_vda16_affine_ew.npz,6e80e25d774f27ab091e7aaf45307f27c9210fbf6c78f292b66ff6ee7edd5e6c,52141da629e2c7f8f902826196067efbadb924608eecde7560559fdc0f813233
vda16,affine_ew,invalid,0.25,17.939596204946383,3.1440911161708884,0.0292958078995755,0.001195236206343426,True,300,16,RViT_plus_paper_jepa_grid9\reports\vda_series\vda16_affine_nodecay_20260720_production\data\psychometric_vda16_affine_ew.npz,6e80e25d774f27ab091e7aaf45307f27c9210fbf6c78f292b66ff6ee7edd5e6c,52141da629e2c7f8f902826196067efbadb924608eecde7560559fdc0f813233
vda16,affine_ew,valid,0.5,11.863606052725691,3.304333273865001,0.028376130706829702,2.0789590021570694e-26,True,300,16,RViT_plus_paper_jepa_grid9\reports\vda_series\vda16_affine_nodecay_20260720_production\data\psychometric_vda16_affine_ew.npz,6e80e25d774f27ab091e7aaf45307f27c9210fbf6c78f292b66ff6ee7edd5e6c,52141da629e2c7f8f902826196067efbadb924608eecde7560559fdc0f813233
vda16,affine_ew,invalid,0.5,17.964713535876747,3.1353866477091046,0.03251821094296716,0.0014425616789033129,True,300,16,RViT_plus_paper_jepa_grid9\reports\vda_series\vda16_affine_nodecay_20260720_production\data\psychometric_vda16_affine_ew.npz,6e80e25d774f27ab091e7aaf45307f27c9210fbf6c78f292b66ff6ee7edd5e6c,52141da629e2c7f8f902826196067efbadb924608eecde7560559fdc0f813233
vda16,affine_ew,valid,0.75,11.761075969780835,3.2992671811852436,0.03289852476838435,1.3479843993463632e-25,True,300,16,RViT_plus_paper_jepa_grid9\reports\vda_series\vda16_affine_nodecay_20260720_production\data\psychometric_vda16_affine_ew.npz,6e80e25d774f27ab091e7aaf45307f27c9210fbf6c78f292b66ff6ee7edd5e6c,52141da629e2c7f8f902826196067efbadb924608eecde7560559fdc0f813233
vda16,affine_ew,invalid,0.75,17.97764548601752,3.1148058196334767,0.0347024952371502,0.00222524857348922,True,300,16,RViT_plus_paper_jepa_grid9\reports\vda_series\vda16_affine_nodecay_20260720_production\data\psychometric_vda16_affine_ew.npz,6e80e25d774f27ab091e7aaf45307f27c9210fbf6c78f292b66ff6ee7edd5e6c,52141da629e2c7f8f902826196067efbadb924608eecde7560559fdc0f813233
vda16,affine_ew,valid,1.0,11.664458440719631,3.3039598281735767,0.031401683385037016,1.0002847229134387e-25,True,300,16,RViT_plus_paper_jepa_grid9\reports\vda_series\vda16_affine_nodecay_20260720_production\data\psychometric_vda16_affine_ew.npz,6e80e25d774f27ab091e7aaf45307f27c9210fbf6c78f292b66ff6ee7edd5e6c,52141da629e2c7f8f902826196067efbadb924608eecde7560559fdc0f813233
vda16,affine_ew,invalid,1.0,17.97764548601752,3.1148058196334767,0.0347024952371502,0.00222524857348922,True,300,16,RViT_plus_paper_jepa_grid9\reports\vda_series\vda16_affine_nodecay_20260720_production\data\psychometric_vda16_affine_ew.npz,6e80e25d774f27ab091e7aaf45307f27c9210fbf6c78f292b66ff6ee7edd5e6c,52141da629e2c7f8f902826196067efbadb924608eecde7560559fdc0f813233
