trial,change_status,test_location,sample_stimulus_minus_blank_combined,sample_loc0_minus_loc3_combined,first_test_target_minus_other_combined,first_test_query_same_minus_other_memory,second_test_target_minus_other_combined,second_test_return_from_gap_combined,second_test_query_same_minus_other_memory
71,0,0,-0.03143915738683489,-0.010609916925886864,-0.04703112210860638,0.05781323462724686,0.007752463288149158,-0.0010556680117925765,0.2547866110689938
72,0,0,-0.03010419399671349,-0.016321527557366267,-0.04922450895611519,0.04842899367213249,-0.01009325568047359,-0.018707526822698384,0.19204405043274164
73,0,0,-0.029919800382582906,-0.011726648716013699,-0.05022377632620589,0.044884342700242996,0.007717766067848686,-0.0003350685490381977,0.24958884972147644
74,0,0,-0.030679415042243363,0.01187590104808578,-0.04934330963543232,0.04774387739598751,0.010633564825809572,0.00140233494426667,0.25948290922679007
75,0,0,-0.032597978036235986,-0.010410177115630859,-0.05191891301625162,0.03786233998835087,-0.012841893365539647,-0.021842942952678968,0.1834159097634256
76,0,0,-0.03580468822498517,-0.004515452745238235,-0.049430910512043624,0.047815585508942604,0.0015515503293386246,-0.008096647587635175,0.23602042737184092
77,0,0,-0.031894339186795406,-0.010050952160234772,-0.05028162671943903,0.043907204642891884,-0.03335148068104843,-0.040018995271594804,0.11167831346392632
78,0,0,-0.03112635139455122,-0.03770887737568529,-0.050633939195527944,0.042971523478627205,0.012435212205339496,0.0033459840020668707,0.2661073026829399
79,0,0,-0.03118738328687698,-0.036715802482063964,-0.052578904123336656,0.035569725558161736,-0.02243252307742516,-0.0318090956609165,0.15388388703286182
80,0,0,-0.02784499410353547,-0.02295793605521368,-0.0495271273867246,0.04733305796980858,-0.024987172256835777,-0.03525858483245159,0.1415256791296997
81,0,0,-0.028458707296785235,-0.05601804001655353,-0.050161479461550584,0.044506531208753586,0.0007364748004476951,-0.007754925943610935,0.2332342527806759
82,0,0,-0.03222368984923207,-0.021582179852785544,-0.05378358029359731,0.03029029257595539,-0.027647547307907416,-0.03482589068056008,0.12896449957042933
83,0,0,-0.03716959667235642,0.006246237429593293,-0.05053643841162625,0.04332134127616882,-0.0005493954162645309,-0.010583880444848148,0.227361310942797
84,0,0,-0.0301509591393625,-0.008988915150439425,-0.05178897964894702,0.03833311051130295,-0.027454296435465153,-0.03649739527187368,0.12911229580640793
85,0,0,-0.030930704383170138,0.024914337650905338,-0.05150433017763589,0.03962241671979427,-0.003094486774458005,-0.01178382865119687,0.22033802000805736
86,0,0,-0.03010771933968215,0.018115524313571996,-0.049339266303420004,0.04827354475855827,0.009643888200746797,6.0971953267152657e-05,0.26208508664728924
87,0,0,-0.029016321593033467,-0.004356955989777589,-0.0515657396396918,0.03896868973970413,0.012882943531764113,0.00341292065773402,0.26758702023653314
88,0,0,-0.035364066520187976,0.011260358097615608,-0.045744606140033284,0.062042828649282455,-0.03898237666977877,-0.04360630741945082,0.09289554506540298
