label,grid,n_tokens,seed,condition,window,source,metric,n_trials,mean,ci95_low,ci95_high,interval_unit,interval_method
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,visual,cue_raw_peak_patch,128,0.005843648825248238,0.005823327692814928,0.005863978583329299,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,visual,target_raw_peak_patch_uniform_ratio,128,1.2665280599321704,1.2603553960798308,1.2724083937246178,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,visual,cue_raw_peak_patch_uniform_ratio,128,1.1687297650496475,1.164554120368848,1.172767142743396,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,visual,target_conditional_total_quadrant_mass,128,0.2452699719709328,0.244676421561329,0.24585759373535893,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,visual,cue_conditional_total_quadrant_mass,128,0.24612967242673106,0.24550760260735743,0.24676000877900361,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,visual,target_conditional_peak_patch,128,0.018984303148005283,0.018916818653799062,0.0190519165208385,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,visual,cue_conditional_peak_patch,128,0.017518568623107786,0.017488934034820394,0.01754834201099909,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,visual,target_conditional_peak_patch_uniform_ratio,128,1.8984303148005282,1.8916034375141224,1.9052964915940434,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,visual,cue_conditional_peak_patch_uniform_ratio,128,1.7518568623107784,1.7488374616002509,1.754876193955089,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,visual,target_peak_patch_quadrant_share,128,0.258606308393928,0.2580921206132274,0.2590973817380041,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,visual,cue_peak_patch_quadrant_share,128,0.238672834229198,0.23833769755612302,0.23899758433474183,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,visual,target_within_quadrant_peak_ratio,128,1.9355332739617133,1.9261757099284131,1.9447508637017612,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,visual,cue_within_quadrant_peak_ratio,128,1.7798607241268343,1.7735614002099696,1.7860080602392117,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,visual,target_minus_cue_raw_total_mass,128,-0.0002911262033080675,-0.0006177251482185397,4.309826003918711e-05,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,visual,target_minus_other_raw_total_mass,128,-0.0021077877245829772,-0.002369158987201559,-0.0018506963598791044,held-out trials,percentile bootstrap (10000 draws)
vda4_crossattn1_grid10x10_seed0,10x10,100,0,invalid,frame6,visual,target_minus_cue_raw_peak,128,0.0004889914744126145,0.000469056562451442,0.0005092182996122574,held-out trials,percentile bootstrap (10000 draws)
